Created as New Dataset,Forensic,9
cm-1,%T
4000.00,99.33
3999.00,99.33
3998.00,99.32
3997.00,99.30
3996.00,99.29
3995.00,99.29
3994.00,99.30
3993.00,99.31
3992.00,99.32
3991.00,99.32
3990.00,99.33
3989.00,99.33
3988.00,99.33
3987.00,99.32
3986.00,99.31
3985.00,99.30
3984.00,99.29
3983.00,99.28
3982.00,99.28
3981.00,99.28
3980.00,99.30
3979.00,99.31
3978.00,99.33
3977.00,99.35
3976.00,99.35
3975.00,99.33
3974.00,99.32
3973.00,99.30
3972.00,99.29
3971.00,99.28
3970.00,99.27
3969.00,99.27
3968.00,99.28
3967.00,99.30
3966.00,99.33
3965.00,99.35
3964.00,99.35
3963.00,99.33
3962.00,99.30
3961.00,99.28
3960.00,99.29
3959.00,99.31
3958.00,99.33
3957.00,99.34
3956.00,99.34
3955.00,99.33
3954.00,99.33
3953.00,99.33
3952.00,99.33
3951.00,99.33
3950.00,99.33
3949.00,99.32
3948.00,99.31
3947.00,99.30
3946.00,99.30
3945.00,99.31
3944.00,99.32
3943.00,99.33
3942.00,99.33
3941.00,99.33
3940.00,99.33
3939.00,99.33
3938.00,99.32
3937.00,99.31
3936.00,99.29
3935.00,99.28
3934.00,99.28
3933.00,99.28
3932.00,99.27
3931.00,99.25
3930.00,99.25
3929.00,99.25
3928.00,99.26
3927.00,99.27
3926.00,99.28
3925.00,99.28
3924.00,99.27
3923.00,99.26
3922.00,99.25
3921.00,99.24
3920.00,99.23
3919.00,99.22
3918.00,99.21
3917.00,99.21
3916.00,99.22
3915.00,99.25
3914.00,99.27
3913.00,99.30
3912.00,99.32
3911.00,99.32
3910.00,99.31
3909.00,99.29
3908.00,99.28
3907.00,99.26
3906.00,99.25
3905.00,99.23
3904.00,99.21
3903.00,99.18
3902.00,99.16
3901.00,99.16
3900.00,99.18
3899.00,99.21
3898.00,99.23
3897.00,99.24
3896.00,99.25
3895.00,99.25
3894.00,99.25
3893.00,99.24
3892.00,99.24
3891.00,99.24
3890.00,99.23
3889.00,99.22
3888.00,99.20
3887.00,99.21
3886.00,99.23
3885.00,99.24
3884.00,99.23
3883.00,99.21
3882.00,99.21
3881.00,99.23
3880.00,99.25
3879.00,99.25
3878.00,99.24
3877.00,99.23
3876.00,99.22
3875.00,99.22
3874.00,99.21
3873.00,99.19
3872.00,99.17
3871.00,99.17
3870.00,99.18
3869.00,99.18
3868.00,99.17
3867.00,99.17
3866.00,99.19
3865.00,99.21
3864.00,99.21
3863.00,99.20
3862.00,99.20
3861.00,99.24
3860.00,99.29
3859.00,99.32
3858.00,99.33
3857.00,99.30
3856.00,99.27
3855.00,99.27
3854.00,99.27
3853.00,99.25
3852.00,99.21
3851.00,99.17
3850.00,99.14
3849.00,99.14
3848.00,99.15
3847.00,99.18
3846.00,99.22
3845.00,99.25
3844.00,99.27
3843.00,99.25
3842.00,99.21
3841.00,99.16
3840.00,99.13
3839.00,99.11
3838.00,99.10
3837.00,99.10
3836.00,99.08
3835.00,99.06
3834.00,99.06
3833.00,99.09
3832.00,99.14
3831.00,99.19
3830.00,99.21
3829.00,99.20
3828.00,99.18
3827.00,99.16
3826.00,99.13
3825.00,99.09
3824.00,99.05
3823.00,99.05
3822.00,99.08
3821.00,99.12
3820.00,99.13
3819.00,99.10
3818.00,99.07
3817.00,99.08
3816.00,99.09
3815.00,99.10
3814.00,99.10
3813.00,99.10
3812.00,99.10
3811.00,99.11
3810.00,99.11
3809.00,99.11
3808.00,99.11
3807.00,99.12
3806.00,99.11
3805.00,99.07
3804.00,99.04
3803.00,99.03
3802.00,99.05
3801.00,99.07
3800.00,99.06
3799.00,99.06
3798.00,99.06
3797.00,99.08
3796.00,99.11
3795.00,99.12
3794.00,99.13
3793.00,99.15
3792.00,99.17
3791.00,99.18
3790.00,99.19
3789.00,99.19
3788.00,99.18
3787.00,99.17
3786.00,99.16
3785.00,99.16
3784.00,99.16
3783.00,99.15
3782.00,99.13
3781.00,99.12
3780.00,99.11
3779.00,99.11
3778.00,99.09
3777.00,99.08
3776.00,99.08
3775.00,99.08
3774.00,99.08
3773.00,99.07
3772.00,99.05
3771.00,99.03
3770.00,99.02
3769.00,99.01
3768.00,99.01
3767.00,99.03
3766.00,99.06
3765.00,99.09
3764.00,99.09
3763.00,99.06
3762.00,99.03
3761.00,99.02
3760.00,99.01
3759.00,99.00
3758.00,98.99
3757.00,99.00
3756.00,99.01
3755.00,99.03
3754.00,99.05
3753.00,99.05
3752.00,99.02
3751.00,98.98
3750.00,98.94
3749.00,98.93
3748.00,98.92
3747.00,98.90
3746.00,98.91
3745.00,98.94
3744.00,98.95
3743.00,98.94
3742.00,98.92
3741.00,98.93
3740.00,98.95
3739.00,98.96
3738.00,98.96
3737.00,98.95
3736.00,98.95
3735.00,98.94
3734.00,98.94
3733.00,98.95
3732.00,98.96
3731.00,98.97
3730.00,98.96
3729.00,98.95
3728.00,98.95
3727.00,98.96
3726.00,98.98
3725.00,98.99
3724.00,98.99
3723.00,98.98
3722.00,98.96
3721.00,98.93
3720.00,98.91
3719.00,98.90
3718.00,98.90
3717.00,98.89
3716.00,98.87
3715.00,98.84
3714.00,98.82
3713.00,98.82
3712.00,98.82
3711.00,98.82
3710.00,98.83
3709.00,98.86
3708.00,98.90
3707.00,98.94
3706.00,98.94
3705.00,98.92
3704.00,98.90
3703.00,98.89
3702.00,98.89
3701.00,98.90
3700.00,98.91
3699.00,98.90
3698.00,98.91
3697.00,98.91
3696.00,98.92
3695.00,98.92
3694.00,98.91
3693.00,98.89
3692.00,98.87
3691.00,98.84
3690.00,98.83
3689.00,98.83
3688.00,98.84
3687.00,98.84
3686.00,98.85
3685.00,98.86
3684.00,98.87
3683.00,98.88
3682.00,98.88
3681.00,98.88
3680.00,98.86
3679.00,98.84
3678.00,98.80
3677.00,98.77
3676.00,98.75
3675.00,98.72
3674.00,98.68
3673.00,98.64
3672.00,98.64
3671.00,98.68
3670.00,98.73
3669.00,98.75
3668.00,98.75
3667.00,98.74
3666.00,98.75
3665.00,98.75
3664.00,98.75
3663.00,98.73
3662.00,98.71
3661.00,98.69
3660.00,98.68
3659.00,98.66
3658.00,98.64
3657.00,98.62
3656.00,98.61
3655.00,98.59
3654.00,98.56
3653.00,98.53
3652.00,98.52
3651.00,98.52
3650.00,98.50
3649.00,98.48
3648.00,98.46
3647.00,98.45
3646.00,98.46
3645.00,98.47
3644.00,98.48
3643.00,98.49
3642.00,98.49
3641.00,98.49
3640.00,98.49
3639.00,98.49
3638.00,98.50
3637.00,98.51
3636.00,98.50
3635.00,98.49
3634.00,98.47
3633.00,98.46
3632.00,98.45
3631.00,98.46
3630.00,98.48
3629.00,98.47
3628.00,98.44
3627.00,98.41
3626.00,98.41
3625.00,98.42
3624.00,98.44
3623.00,98.43
3622.00,98.39
3621.00,98.36
3620.00,98.34
3619.00,98.35
3618.00,98.36
3617.00,98.38
3616.00,98.38
3615.00,98.39
3614.00,98.41
3613.00,98.43
3612.00,98.46
3611.00,98.48
3610.00,98.48
3609.00,98.47
3608.00,98.45
3607.00,98.43
3606.00,98.41
3605.00,98.41
3604.00,98.44
3603.00,98.48
3602.00,98.50
3601.00,98.51
3600.00,98.49
3599.00,98.46
3598.00,98.45
3597.00,98.44
3596.00,98.43
3595.00,98.42
3594.00,98.40
3593.00,98.39
3592.00,98.39
3591.00,98.39
3590.00,98.39
3589.00,98.41
3588.00,98.45
3587.00,98.49
3586.00,98.50
3585.00,98.50
3584.00,98.50
3583.00,98.50
3582.00,98.51
3581.00,98.50
3580.00,98.49
3579.00,98.49
3578.00,98.50
3577.00,98.52
3576.00,98.55
3575.00,98.56
3574.00,98.55
3573.00,98.53
3572.00,98.51
3571.00,98.48
3570.00,98.46
3569.00,98.44
3568.00,98.44
3567.00,98.45
3566.00,98.46
3565.00,98.48
3564.00,98.48
3563.00,98.48
3562.00,98.48
3561.00,98.49
3560.00,98.50
3559.00,98.50
3558.00,98.51
3557.00,98.49
3556.00,98.47
3555.00,98.45
3554.00,98.44
3553.00,98.44
3552.00,98.44
3551.00,98.42
3550.00,98.41
3549.00,98.40
3548.00,98.41
3547.00,98.42
3546.00,98.42
3545.00,98.42
3544.00,98.43
3543.00,98.44
3542.00,98.46
3541.00,98.47
3540.00,98.48
3539.00,98.49
3538.00,98.50
3537.00,98.49
3536.00,98.47
3535.00,98.44
3534.00,98.40
3533.00,98.38
3532.00,98.38
3531.00,98.40
3530.00,98.41
3529.00,98.43
3528.00,98.44
3527.00,98.45
3526.00,98.46
3525.00,98.47
3524.00,98.47
3523.00,98.49
3522.00,98.51
3521.00,98.53
3520.00,98.55
3519.00,98.56
3518.00,98.54
3517.00,98.52
3516.00,98.49
3515.00,98.46
3514.00,98.45
3513.00,98.44
3512.00,98.44
3511.00,98.46
3510.00,98.49
3509.00,98.51
3508.00,98.53
3507.00,98.54
3506.00,98.55
3505.00,98.56
3504.00,98.57
3503.00,98.56
3502.00,98.54
3501.00,98.52
3500.00,98.49
3499.00,98.47
3498.00,98.45
3497.00,98.44
3496.00,98.43
3495.00,98.44
3494.00,98.46
3493.00,98.49
3492.00,98.51
3491.00,98.53
3490.00,98.53
3489.00,98.53
3488.00,98.53
3487.00,98.55
3486.00,98.57
3485.00,98.58
3484.00,98.59
3483.00,98.59
3482.00,98.58
3481.00,98.57
3480.00,98.55
3479.00,98.54
3478.00,98.52
3477.00,98.50
3476.00,98.50
3475.00,98.51
3474.00,98.53
3473.00,98.55
3472.00,98.56
3471.00,98.57
3470.00,98.58
3469.00,98.59
3468.00,98.59
3467.00,98.57
3466.00,98.56
3465.00,98.55
3464.00,98.54
3463.00,98.54
3462.00,98.54
3461.00,98.53
3460.00,98.53
3459.00,98.52
3458.00,98.52
3457.00,98.52
3456.00,98.52
3455.00,98.52
3454.00,98.51
3453.00,98.51
3452.00,98.51
3451.00,98.51
3450.00,98.50
3449.00,98.49
3448.00,98.49
3447.00,98.50
3446.00,98.51
3445.00,98.50
3444.00,98.49
3443.00,98.48
3442.00,98.47
3441.00,98.46
3440.00,98.45
3439.00,98.45
3438.00,98.46
3437.00,98.48
3436.00,98.50
3435.00,98.52
3434.00,98.52
3433.00,98.52
3432.00,98.51
3431.00,98.50
3430.00,98.50
3429.00,98.49
3428.00,98.51
3427.00,98.52
3426.00,98.54
3425.00,98.55
3424.00,98.55
3423.00,98.54
3422.00,98.53
3421.00,98.51
3420.00,98.51
3419.00,98.52
3418.00,98.53
3417.00,98.54
3416.00,98.54
3415.00,98.54
3414.00,98.53
3413.00,98.52
3412.00,98.52
3411.00,98.52
3410.00,98.52
3409.00,98.51
3408.00,98.50
3407.00,98.49
3406.00,98.49
3405.00,98.50
3404.00,98.52
3403.00,98.55
3402.00,98.57
3401.00,98.58
3400.00,98.57
3399.00,98.55
3398.00,98.52
3397.00,98.49
3396.00,98.47
3395.00,98.46
3394.00,98.46
3393.00,98.46
3392.00,98.48
3391.00,98.50
3390.00,98.52
3389.00,98.53
3388.00,98.53
3387.00,98.52
3386.00,98.50
3385.00,98.50
3384.00,98.50
3383.00,98.52
3382.00,98.53
3381.00,98.53
3380.00,98.53
3379.00,98.54
3378.00,98.55
3377.00,98.56
3376.00,98.57
3375.00,98.57
3374.00,98.57
3373.00,98.57
3372.00,98.57
3371.00,98.56
3370.00,98.55
3369.00,98.53
3368.00,98.52
3367.00,98.53
3366.00,98.53
3365.00,98.53
3364.00,98.53
3363.00,98.54
3362.00,98.54
3361.00,98.55
3360.00,98.55
3359.00,98.54
3358.00,98.53
3357.00,98.53
3356.00,98.52
3355.00,98.52
3354.00,98.53
3353.00,98.53
3352.00,98.54
3351.00,98.55
3350.00,98.53
3349.00,98.51
3348.00,98.49
3347.00,98.47
3346.00,98.47
3345.00,98.48
3344.00,98.49
3343.00,98.49
3342.00,98.48
3341.00,98.47
3340.00,98.47
3339.00,98.47
3338.00,98.48
3337.00,98.49
3336.00,98.49
3335.00,98.49
3334.00,98.50
3333.00,98.52
3332.00,98.53
3331.00,98.53
3330.00,98.54
3329.00,98.54
3328.00,98.54
3327.00,98.54
3326.00,98.55
3325.00,98.55
3324.00,98.55
3323.00,98.55
3322.00,98.55
3321.00,98.55
3320.00,98.55
3319.00,98.56
3318.00,98.57
3317.00,98.57
3316.00,98.57
3315.00,98.54
3314.00,98.51
3313.00,98.49
3312.00,98.48
3311.00,98.47
3310.00,98.47
3309.00,98.48
3308.00,98.48
3307.00,98.49
3306.00,98.48
3305.00,98.47
3304.00,98.45
3303.00,98.45
3302.00,98.46
3301.00,98.50
3300.00,98.53
3299.00,98.54
3298.00,98.55
3297.00,98.54
3296.00,98.53
3295.00,98.51
3294.00,98.49
3293.00,98.48
3292.00,98.48
3291.00,98.48
3290.00,98.48
3289.00,98.49
3288.00,98.51
3287.00,98.52
3286.00,98.52
3285.00,98.51
3284.00,98.50
3283.00,98.48
3282.00,98.47
3281.00,98.46
3280.00,98.45
3279.00,98.44
3278.00,98.44
3277.00,98.44
3276.00,98.45
3275.00,98.46
3274.00,98.48
3273.00,98.50
3272.00,98.51
3271.00,98.52
3270.00,98.51
3269.00,98.49
3268.00,98.47
3267.00,98.46
3266.00,98.45
3265.00,98.45
3264.00,98.46
3263.00,98.46
3262.00,98.46
3261.00,98.46
3260.00,98.44
3259.00,98.42
3258.00,98.40
3257.00,98.39
3256.00,98.39
3255.00,98.39
3254.00,98.40
3253.00,98.42
3252.00,98.43
3251.00,98.45
3250.00,98.46
3249.00,98.46
3248.00,98.45
3247.00,98.44
3246.00,98.44
3245.00,98.45
3244.00,98.47
3243.00,98.47
3242.00,98.47
3241.00,98.47
3240.00,98.48
3239.00,98.49
3238.00,98.49
3237.00,98.49
3236.00,98.48
3235.00,98.48
3234.00,98.47
3233.00,98.45
3232.00,98.41
3231.00,98.38
3230.00,98.36
3229.00,98.37
3228.00,98.40
3227.00,98.44
3226.00,98.47
3225.00,98.48
3224.00,98.48
3223.00,98.47
3222.00,98.47
3221.00,98.48
3220.00,98.50
3219.00,98.51
3218.00,98.50
3217.00,98.48
3216.00,98.46
3215.00,98.46
3214.00,98.45
3213.00,98.45
3212.00,98.44
3211.00,98.44
3210.00,98.43
3209.00,98.44
3208.00,98.46
3207.00,98.48
3206.00,98.49
3205.00,98.50
3204.00,98.49
3203.00,98.46
3202.00,98.42
3201.00,98.41
3200.00,98.42
3199.00,98.44
3198.00,98.47
3197.00,98.48
3196.00,98.48
3195.00,98.46
3194.00,98.45
3193.00,98.46
3192.00,98.49
3191.00,98.52
3190.00,98.56
3189.00,98.57
3188.00,98.55
3187.00,98.53
3186.00,98.50
3185.00,98.48
3184.00,98.48
3183.00,98.48
3182.00,98.48
3181.00,98.47
3180.00,98.48
3179.00,98.49
3178.00,98.51
3177.00,98.52
3176.00,98.53
3175.00,98.52
3174.00,98.50
3173.00,98.48
3172.00,98.47
3171.00,98.46
3170.00,98.45
3169.00,98.46
3168.00,98.47
3167.00,98.48
3166.00,98.49
3165.00,98.50
3164.00,98.50
3163.00,98.51
3162.00,98.52
3161.00,98.52
3160.00,98.52
3159.00,98.51
3158.00,98.51
3157.00,98.51
3156.00,98.52
3155.00,98.53
3154.00,98.54
3153.00,98.53
3152.00,98.52
3151.00,98.51
3150.00,98.52
3149.00,98.53
3148.00,98.55
3147.00,98.56
3146.00,98.57
3145.00,98.57
3144.00,98.57
3143.00,98.57
3142.00,98.57
3141.00,98.57
3140.00,98.57
3139.00,98.55
3138.00,98.53
3137.00,98.51
3136.00,98.51
3135.00,98.52
3134.00,98.53
3133.00,98.53
3132.00,98.53
3131.00,98.52
3130.00,98.53
3129.00,98.53
3128.00,98.53
3127.00,98.53
3126.00,98.52
3125.00,98.53
3124.00,98.53
3123.00,98.54
3122.00,98.54
3121.00,98.53
3120.00,98.51
3119.00,98.50
3118.00,98.50
3117.00,98.52
3116.00,98.54
3115.00,98.55
3114.00,98.55
3113.00,98.55
3112.00,98.55
3111.00,98.55
3110.00,98.55
3109.00,98.56
3108.00,98.57
3107.00,98.57
3106.00,98.57
3105.00,98.56
3104.00,98.54
3103.00,98.53
3102.00,98.53
3101.00,98.53
3100.00,98.52
3099.00,98.52
3098.00,98.52
3097.00,98.53
3096.00,98.54
3095.00,98.55
3094.00,98.55
3093.00,98.55
3092.00,98.54
3091.00,98.53
3090.00,98.52
3089.00,98.51
3088.00,98.51
3087.00,98.53
3086.00,98.53
3085.00,98.54
3084.00,98.53
3083.00,98.53
3082.00,98.54
3081.00,98.54
3080.00,98.55
3079.00,98.55
3078.00,98.55
3077.00,98.55
3076.00,98.54
3075.00,98.54
3074.00,98.54
3073.00,98.53
3072.00,98.53
3071.00,98.52
3070.00,98.51
3069.00,98.50
3068.00,98.50
3067.00,98.49
3066.00,98.49
3065.00,98.49
3064.00,98.50
3063.00,98.51
3062.00,98.53
3061.00,98.54
3060.00,98.55
3059.00,98.54
3058.00,98.53
3057.00,98.52
3056.00,98.50
3055.00,98.48
3054.00,98.47
3053.00,98.46
3052.00,98.47
3051.00,98.49
3050.00,98.51
3049.00,98.52
3048.00,98.53
3047.00,98.52
3046.00,98.50
3045.00,98.47
3044.00,98.45
3043.00,98.45
3042.00,98.46
3041.00,98.48
3040.00,98.50
3039.00,98.50
3038.00,98.50
3037.00,98.49
3036.00,98.49
3035.00,98.49
3034.00,98.49
3033.00,98.49
3032.00,98.49
3031.00,98.50
3030.00,98.51
3029.00,98.51
3028.00,98.50
3027.00,98.49
3026.00,98.48
3025.00,98.47
3024.00,98.45
3023.00,98.43
3022.00,98.41
3021.00,98.40
3020.00,98.40
3019.00,98.40
3018.00,98.41
3017.00,98.42
3016.00,98.44
3015.00,98.45
3014.00,98.47
3013.00,98.48
3012.00,98.47
3011.00,98.44
3010.00,98.41
3009.00,98.37
3008.00,98.35
3007.00,98.34
3006.00,98.34
3005.00,98.34
3004.00,98.34
3003.00,98.33
3002.00,98.32
3001.00,98.31
3000.00,98.31
2999.00,98.31
2998.00,98.30
2997.00,98.30
2996.00,98.29
2995.00,98.28
2994.00,98.26
2993.00,98.25
2992.00,98.24
2991.00,98.24
2990.00,98.24
2989.00,98.25
2988.00,98.24
2987.00,98.24
2986.00,98.23
2985.00,98.23
2984.00,98.23
2983.00,98.24
2982.00,98.24
2981.00,98.24
2980.00,98.24
2979.00,98.23
2978.00,98.22
2977.00,98.21
2976.00,98.21
2975.00,98.20
2974.00,98.19
2973.00,98.17
2972.00,98.15
2971.00,98.14
2970.00,98.12
2969.00,98.11
2968.00,98.10
2967.00,98.10
2966.00,98.10
2965.00,98.08
2964.00,98.05
2963.00,98.02
2962.00,98.00
2961.00,97.98
2960.00,97.96
2959.00,97.93
2958.00,97.91
2957.00,97.89
2956.00,97.86
2955.00,97.83
2954.00,97.78
2953.00,97.75
2952.00,97.74
2951.00,97.72
2950.00,97.69
2949.00,97.65
2948.00,97.61
2947.00,97.59
2946.00,97.57
2945.00,97.55
2944.00,97.53
2943.00,97.50
2942.00,97.47
2941.00,97.45
2940.00,97.44
2939.00,97.45
2938.00,97.45
2937.00,97.44
2936.00,97.43
2935.00,97.42
2934.00,97.42
2933.00,97.42
2932.00,97.44
2931.00,97.45
2930.00,97.45
2929.00,97.44
2928.00,97.42
2927.00,97.40
2926.00,97.39
2925.00,97.38
2924.00,97.37
2923.00,97.35
2922.00,97.33
2921.00,97.34
2920.00,97.36
2919.00,97.38
2918.00,97.41
2917.00,97.43
2916.00,97.45
2915.00,97.48
2914.00,97.51
2913.00,97.56
2912.00,97.62
2911.00,97.67
2910.00,97.72
2909.00,97.75
2908.00,97.78
2907.00,97.81
2906.00,97.85
2905.00,97.90
2904.00,97.94
2903.00,97.98
2902.00,98.00
2901.00,98.00
2900.00,98.00
2899.00,98.00
2898.00,98.02
2897.00,98.04
2896.00,98.05
2895.00,98.05
2894.00,98.05
2893.00,98.06
2892.00,98.07
2891.00,98.08
2890.00,98.09
2889.00,98.11
2888.00,98.13
2887.00,98.14
2886.00,98.16
2885.00,98.17
2884.00,98.17
2883.00,98.16
2882.00,98.15
2881.00,98.14
2880.00,98.14
2879.00,98.14
2878.00,98.13
2877.00,98.13
2876.00,98.12
2875.00,98.11
2874.00,98.11
2873.00,98.12
2872.00,98.13
2871.00,98.15
2870.00,98.15
2869.00,98.15
2868.00,98.15
2867.00,98.15
2866.00,98.16
2865.00,98.17
2864.00,98.19
